frame,x,y
475.0,86.0,229.0
476.0,89.0,255.0
477.0,91.0,279.0
478.0,93.0,304.0
479.0,94.0,326.0
480.0,96.0,347.0
481.0,98.0,366.0
482.0,99.0,383.0
483.0,101.0,394.0
484.0,102.0,404.0
485.0,103.0,412.0
486.0,103.0,417.0
487.0,103.0,419.0
488.0,104.0,418.0
489.0,104.0,413.0
490.0,104.0,406.0
491.0,105.0,396.0
492.0,104.0,386.0
493.0,103.0,370.0
494.0,104.0,352.0
495.0,104.0,332.0
496.0,103.0,311.0
497.0,103.0,288.0
498.0,102.0,265.0
499.0,101.0,242.0
500.0,100.0,218.0
501.0,99.0,193.0
502.0,97.0,169.0
503.0,95.0,147.0
504.0,94.0,126.0
505.0,92.0,106.0
506.0,88.0,86.0
507.0,85.0,70.0
508.0,80.0,54.0
509.0,76.0,41.0
510.0,74.0,35.0
